:START_ID(Paper),:END_ID(Keyword),:TYPE
1470549,page,P2W
1470549,classification,P2W
1236510,temporal,P2W
1236510,association,P2W
1236510,rule,P2W
1236510,mining,P2W
1236510,framework,P2W
1236510,real,P2W
1236510,time,P2W
1236510,sensor,P2W
1236510,network,P2W
1236510,applications,P2W
1118518,query,P2W
1118518,processing,P2W
1118518,sensor,P2W
1118518,networks,P2W
1224268,time,P2W
1224268,data,P2W
1224268,mining,P2W
1224268,non,P2W
1224268,streams,P2W
1224268,sensor,P2W
1224268,networks,P2W
